"","medians BAS","medians W2","p values","-log10 p values","adjusted p values","fold changes","log10 fold changes"
"C73 CD154 <CD154>",1.07797056436539,0.248491421341896,0.112731298691452,0.94795548979368,0.338671580306846,-4.33805947321707,-0.637295501738327
"C74 CD154 <CD154>",1.16102004051208,0.557847887277603,0.0495692126606631,1.30478797921559,0.338671580306846,-2.08124843167923,-0.318323923588744
"C75 CD154 <CD154>",1.13629579544067,0.701559901237488,0.186269369168765,0.729858556240111,0.338671580306846,-1.61967038514652,-0.209426641408641
"C76 CD154 <CD154>",1.3118332028389,0.816600322723389,0.104418914056406,0.981220827709895,0.338671580306846,-1.60645687533393,-0.205869071589443
"C77 CD154 <CD154>",1.534876704216,1.03308194875717,0.174001236239583,0.759447666141987,0.338671580306846,-1.48572599304683,-0.171938721483488
"C78 CD154 <CD154>",1.57089340686798,1.38484328985214,0.345134573417219,0.462011533631616,0.420895821240511,-1.13434741560953,-0.0547460859279103
"C79 CD154 <CD154>",1.39978533983231,0.791375398635864,0.121556685729604,0.915221149567471,0.338671580306846,-1.76880067569094,-0.247678895473412
"C80 CD154 <CD154>",1.38692510128021,0.760471105575562,0.226890418219509,0.644183844363017,0.371951505277884,-1.82377093766175,-0.260970290814471
"C81 CD154 <CD154>",1.15129959583282,0.649476140737534,0.199165276816437,0.700786375759193,0.343388408304202,-1.7726587993293,-0.248625150813238
"C82 CD154 <CD154>",1.10473549365997,0.664951473474503,0.130913384518815,0.883015949129121,0.338671580306846,-1.66137761585445,-0.22046835481323
"C83 CD154 <CD154>",1.05495643615723,0.621447324752808,0.0698917182515485,1.15557428249093,0.338671580306846,-1.69757981752815,-0.229830203274831
"C84 CD154 <CD154>",0.998201757669449,0.458662047982216,0.2572636553313,0.589621563979958,0.378328904898971,-2.17633388692354,-0.337725524355536
"C85 CD154 <CD154>",0.974889934062958,0.278124168515205,0.0495692126606631,1.30478797921559,0.338671580306846,-3.50523271410575,-0.544716856281847
"C86 CD154 <CD154>",0.955407023429871,0.675655841827393,0.0541168582446168,1.26666742431817,0.338671580306846,-1.41404390265591,-0.150462893467396
"C87 CD154 <CD154>",1.56559628248215,0.512928903102875,0.0285068904286612,1.54505015355432,0.338671580306846,-3.05226762034922,-0.484622609540202
"C88 CD154 <CD154>",1.58004295825958,1.28326666355133,0.2572636553313,0.589621563979958,0.378328904898971,-1.23126627001043,-0.0903519823313064
"C89 CD154 <CD154>",1.34130942821503,0.783314228057861,0.112731298691452,0.94795548979368,0.338671580306846,-1.71235167212608,-0.233592962198277
"C90 CD154 <CD154>",1.31219655275345,1.16502815485001,0.450096046379406,0.346694801865229,0.489234833021093,-1.12632175221756,-0.0516624715560926
"C91 CD154 <CD154>",1.13313734531403,1.12894201278687,0.42776753510831,0.368792178760116,0.489234833021093,-1.00371616299123,-0.00161091771498951
"C92 CD154 <CD154>",1.13288378715515,0.748932659626007,0.186269369168765,0.729858556240111,0.338671580306846,-1.51266441995049,-0.179742591784854
"C93 CD154 <CD154>",1.07906937599182,0.882885724306107,0.2572636553313,0.589621563979958,0.378328904898971,-1.2222072985039,-0.0871448728141005
"C94 CD154 <CD154>",0.984059691429138,-0.277450263500214,0.0378060811976128,1.42243833724883,0.338671580306846,NA,NA
"C95 CD154 <CD154>",0.589468240737915,-0.444516152143478,0.0378060811976128,1.42243833724883,0.338671580306846,NA,NA
"C96 CD154 <CD154>",1.0042632818222,-0.195395469665527,0.0173571814210878,1.7605207971694,0.338671580306846,NA,NA
"C97 CD154 <CD154>",1.08435773849487,0.459096163511276,0.0541168582446168,1.26666742431817,0.338671580306846,-2.36194031812736,-0.373268919596114
"C98 CD154 <CD154>",1.50494682788849,1.00120913982391,0.151291562158171,0.820185292798572,0.338671580306846,-1.50312933434983,-0.176996350365943
"C99 CD154 <CD154>",1.41829037666321,0.770979374647141,0.140819247035076,0.85133798219775,0.338671580306846,-1.83959574445468,-0.264722396247733
"C100 CD154 <CD154>",1.34883505105972,0.627151727676392,0.450096046379406,0.346694801865229,0.489234833021093,-2.15073161969462,-0.332586220077078
